Feed_Temp_C,Feed_Pressure_atm,Feed_x_Benzene,Num_Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate_kmol_h,xD_Benzene,xB_Toluene,Qc_kW,Qr_kW
47.47,1.28,0.4047,12,7,3.4483,15.87,0.9856,0.995,853.99,918.22
82.04,1.81,0.3988,18,7,3.9462,10.44,0.9915,0.995,878.74,945.77
68.92,2.31,0.6625,14,8,2.8966,11.06,0.998,0.9846,756.87,831.85
60.92,2.1,0.3998,17,9,2.6104,12.83,0.9803,0.995,737.69,806.53
34.36,2.21,0.4088,16,7,3.6596,8.63,0.9881,0.995,782.13,857.17
34.36,1.99,0.6038,17,7,3.867,14.11,0.998,0.995,873.01,940.98
28.49,2.04,0.4799,16,8,3.3127,17.84,0.9947,0.995,847.02,918.65
76.97,2.27,0.6107,12,5,2.4473,11.61,0.998,0.9857,722.71,798.44
61.07,1.37,0.3261,11,6,2.8582,15.53,0.9713,0.995,800.3,861.11
67.48,1.73,0.495,16,8,3.1626,13.0,0.9968,0.995,812.58,882.1
26.24,1.33,0.3134,12,7,1.744,9.28,0.9479,0.995,574.39,633.15
83.19,2.48,0.3251,12,6,2.4522,13.82,0.962,0.995,748.91,829.48
74.95,2.42,0.6626,11,5,3.5235,11.0,0.998,0.9947,825.93,899.63
37.74,1.06,0.3557,13,6,3.0332,8.34,0.9803,0.995,712.8,770.29
35.91,2.06,0.513,17,9,2.3514,14.35,0.9889,0.995,708.72,779.31
36.0,2.39,0.4644,10,6,3.0574,16.59,0.9903,0.995,812.49,886.89
43.25,1.27,0.4389,10,6,1.531,11.45,0.9612,0.9869,590.77,646.51
56.49,1.85,0.6599,14,6,2.3242,11.9,0.998,0.9825,691.91,759.16
50.92,2.37,0.3087,14,6,3.4208,16.91,0.9752,0.995,870.7,945.65
42.47,1.05,0.5655,10,4,1.8174,16.14,0.9935,0.9905,675.97,732.08
61.71,2.05,0.6854,15,8,1.7207,15.15,0.998,0.9719,672.33,744.48
33.37,1.45,0.5241,10,4,3.8623,10.49,0.998,0.995,826.47,886.55
42.53,2.39,0.6747,14,7,1.7877,17.1,0.9977,0.9769,689.64,768.95
46.98,2.46,0.3209,18,9,1.9306,9.54,0.9583,0.995,616.44,692.21
52.36,2.42,0.4675,14,8,3.9149,14.27,0.9963,0.995,894.33,971.78
72.11,1.71,0.4041,15,7,3.2572,8.29,0.9902,0.995,764.81,830.66
36.98,2.29,0.5923,17,8,3.1589,14.44,0.998,0.995,795.75,869.75
55.85,2.27,0.6925,10,5,3.5882,10.77,0.998,0.9922,822.88,896.97
60.54,1.48,0.4026,11,6,1.5243,12.5,0.9581,0.9943,614.03,674.33
27.79,2.24,0.5617,18,8,3.1767,11.45,0.998,0.995,759.37,832.24
61.45,1.06,0.3792,12,7,2.6103,9.73,0.9818,0.995,704.06,757.21
35.23,1.89,0.5261,15,9,3.5216,14.22,0.998,0.995,835.65,902.97
28.9,1.35,0.4856,14,6,2.6228,16.82,0.9871,0.995,767.53,826.77
81.93,1.18,0.6888,11,5,2.9367,17.59,0.998,0.995,846.01,905.41
82.94,1.12,0.5434,16,8,2.5377,9.92,0.998,0.9894,719.78,775.85
73.5,2.04,0.4398,13,7,2.5388,15.17,0.9828,0.995,772.18,841.95
43.28,1.51,0.3456,10,4,3.3503,14.64,0.9725,0.995,828.14,891.22
30.86,2.09,0.3605,13,7,2.96,11.43,0.9753,0.995,736.79,808.46
66.05,1.1,0.3901,15,8,2.9731,8.19,0.9839,0.995,721.53,776.82
51.41,1.47,0.4004,16,7,2.4608,14.9,0.9766,0.995,738.04,800.93
32.32,1.81,0.6402,16,9,2.6871,17.45,0.998,0.995,779.84,846.62
54.71,2.19,0.5245,16,9,3.288,14.32,0.998,0.995,827.83,899.44
27.06,1.48,0.5094,12,5,3.5126,12.35,0.998,0.995,810.05,871.24
79.56,1.94,0.3459,15,7,3.1504,13.25,0.979,0.995,825.32,896.3
40.53,2.33,0.6441,17,8,3.7874,10.0,0.998,0.9922,819.81,893.81
64.75,1.92,0.5891,13,8,3.4969,15.51,0.998,0.995,873.14,942.52
43.7,1.35,0.3271,17,10,2.7732,15.46,0.9668,0.995,774.12,831.79
56.2,1.04,0.5831,11,5,3.0799,9.46,0.998,0.9946,742.07,799.85
57.8,2.31,0.5174,19,10,3.7937,16.78,0.998,0.995,913.09,986.5
36.09,1.03,0.3327,18,9,2.9337,10.69,0.9768,0.995,729.26,785.54
83.18,2.31,0.4833,18,9,3.5095,17.82,0.9927,0.995,919.38,993.56
71.51,1.79,0.4939,17,8,3.1287,11.83,0.9955,0.995,794.87,862.55
81.37,2.41,0.3663,19,8,2.7454,9.78,0.9727,0.995,735.1,812.12
78.69,2.2,0.6783,19,9,1.8771,11.52,0.998,0.9648,655.9,728.59
60.87,2.5,0.64,10,5,2.3928,12.4,0.998,0.9863,704.78,778.5
80.31,1.53,0.5676,11,4,3.9097,8.69,0.998,0.995,842.87,907.94
30.31,2.15,0.4849,15,9,3.0417,13.78,0.9955,0.995,769.23,841.22
36.76,1.6,0.4647,19,8,2.7803,13.98,0.9874,0.995,752.08,816.86
27.71,1.72,0.5604,14,6,3.8123,15.39,0.998,0.995,879.18,946.36
44.52,1.94,0.5182,18,9,2.8422,8.29,0.998,0.9949,700.66,768.87
48.32,2.31,0.3249,14,8,2.673,13.41,0.9683,0.995,746.02,821.71
41.28,2.48,0.505,11,5,3.3261,8.53,0.998,0.995,749.7,825.34
74.72,2.15,0.6226,19,9,3.1955,15.01,0.998,0.995,844.85,917.91
46.41,1.63,0.4837,13,8,1.7408,8.56,0.9782,0.9872,578.51,642.95
41.86,1.63,0.3208,18,8,2.5197,17.12,0.9633,0.995,768.62,832.25
57.56,2.11,0.6145,10,5,2.523,15.02,0.998,0.995,748.81,820.5
